ana_hat_no;alt_hat_no;ana_hat_adi;alt_hat_adi;durak_sayisi;uzunluk_km
59;0;SANCAK ÖZKON TRAMVAY;SANCAK;94;35,807
59;1;SANCAK ÖZKON TRAMVAY;SULTANŞEHİR;89;33,743
60;0;ÖZNARE TRAMVAY;ÖZNARE YAZIR TOKİ TRAMVAY;116;44,711
62;0;HAVA LOJ. KARKENT;HAVA LOJ KARKENT;63;26,623
63;0;ERENKÖY;ERENKÖY;89;29,717
63;1;ERENKÖY;ERENKÖY ÇAY;104;37,021
64;0;SİLLE;SİLLE;61;32,057
64;1;SİLLE;SİLLE MKM;70;0
65;0;MEDRESE KUMKÖPRÜ;MEDRESE KUMKÖPRÜ;103;35,832
66;0;NİŞANTAŞI ESENLER;NİŞANTAŞI ESENLER;45;22,496
67;0;MİMAR SİNAN;MİMAR SİNAN;77;27,859
68;0;HACIKAYMAK;HACIKAYMAK;38;19,061
69;0;HANAYBAŞI;HANAYBAŞI;82;0
70;0;HOCACİHAN;HOCACİHAN;70;33,586
71;0;HOCACİHAN ŞEFİKCAN;HOCACİHAN ŞEFİKCAN;66;0
72;0;ÇEVRE YOLU AYKENT;ÇEVRE YOLU AYKENT;40;38,425
73;0;DERE TIP GAR;DERE TIP GAR;118;42,74
74;0;YENİ YOL AYANBEY;YENİYOL AYANBEY;73;0
76;0;KARATEPE GAZZE ;KARATEPE GAZZE;100;0
77;0;AŞKAN;AŞKAN;109;33,834
79;0;AYBAHÇE;AYBAHÇE;108;30,886
80;0;SANCAK TRAMVAY;SANCAK TRAMVAY;50;0
81;0;ORTAKONAK DİVANLAR;ORTAKONAK DİVANLAR;115;111,754
82;0;BOSNA SANAYİ;BOSNA SANAYİ;58;0
83;0;MENGENE;MENGENE;65;18,062
84;1;MERAM TOKİ;MERAM TOKİ 1. ETAP;105;62,843
84;2;MERAM TOKİ;MERAM TOKİ 2. ETAP;104;61,709
84;3;MERAM TOKİ;MERAM TOKİ 1. ETAP EKSPRES;27;62,376
84;4;MERAM TOKİ;MERAM TOKİ 2. ETAP EKSPRES;27;63,095
86;0;YAZIR BARIŞ CAD;YAZIR BARIŞ CAD;78;33,638
87;0;SÜLEYMANİYE KAŞ;SÜLEYMANİYE KAŞ;93;31,238
88;0;PAMUKÇU;PAMUKÇU;154;59,122
89;0;ALAKOVA BOYALI KAYHÜYÜK AKTARMA;BOYALI KAYHÜYÜK;42;26,66
90;0;MENGENE İSTİKLAL 2;MENGENE İSTİKLAL 2 ;95;20,72
90;1;MENGENE İSTİKLAL 2;MENGENE İSTİKLAL 2 ALTINYÜZÜK;98;0
91;0;KAŞINHANI;KAŞINHANI;126;50,325
92;0;ÇARIKLAR;ÇARIKLAR;148;18,883
93;0;ÇOMAKLI BORUKTOLU;ÇOMAKLI BORUKTOLU;149;52,652
94;0;KARADİĞİN;SAMANPAZARI KARADİĞİN;75;63,76
94;1;KARADİĞİN;KARADİĞİN SAMANPAZARI;75;48,575
94;2;KARADİĞİN;AYKENT KARADİĞİN;83;0
94;3;KARADİĞİN;KARADİĞİN AYKENT;83;0
95;0;GÖZTEPE AKTARMA;GÖZTEPE AKTARMA;15;0
96;0;YÜKSELEN;YÜKSELEN;118;48,31
97;0;DERE TIP SANAYİ;DERE TIP SANAYİ;141;49,231
97;1;DERE TIP SANAYİ;TIP ÇEVRE YOLU YAZIR;100;45,034
97;2;DERE TIP SANAYİ;TIP SANAYİ YAZIR;113;24,743
98;0;YAZIR MERAM TIP;YAZIR MERAM TIP ;84;28,742
99;0;TATKÖY;TATKÖY;110;23,049
101;0;BEYHEKİM BOSNA TRAMVAY;BEYHEKİM BOSNA TRAMVAY;90;0
102;0;YENİ KUNDURACILAR;YENİ KUNDURACILAR;105;40,883
103;0;FETİH CAD AYKENT 2. ORGANİZE;FETİH CAD AYKENT 2. ORGANİZE;105;52,066
104;0;S. EYYUBİ OSMANCIK TRAMVAY;S. EYYUBİ OSMANCIK TRAMVAY;50;20,788
105;0;SARAYKÖY SULUTAS;SARAYKÖY SULUTAS;108;43,737
106;0;AKÇAKÖŞK;AKÇAKÖŞK;97;30,428
107;0;ASLIM CAD SANAYİLER;ASLIM CAD SANAYİLER;137;27,704
108;0;KILINÇARSLAN MERAM TIP;KILINÇARSLAN MERAM TIP;48;0
109;0;TRAMVAY ESKİ SANAYİ NEÜ KÖYCEĞİZ;TRAMVAY ESKİ SANAYİ NEÜ KÖYCEĞİZ;39;0
110;0;TRAMVAY ESKİ SANAYİ NEÜ EĞİTİM;TRAMVAY ESKİ SANAYİ NEÜ EĞİTİM;27;0
112;0;ŞEHİR HASTANESİ ADLİYE TRAMVAY;ŞEHİR HASTANESİ ADLİYE TRAMVAY;13;0
116;0;DAĞDERE MEYDAN TRAMVAY;MEYDAN DAĞDERE TRAMVAY;32;0
124;0;PARSELLER;PARSELLER;113;0
124;1;PARSELLER;PARSELLER TRAFO;125;0
125;0;LORAS TELAFER;LORAS TELAFER;109;38,35
